Sinhala,Literal_Meaning,English_Cultural_Equivalent,Category
ගඟට ගිය කිරි අඬන්නෙ නෑ,"Milk that went into the river does not cry","No use crying over spilt milk / what's done is done",Proverb
වතුර නැති තැන මාළු බෑ,"You cannot get fish where there is no water","You cannot get results without the right conditions or effort",Proverb
කකුලක් නැති කුකුළා,"A rooster without a leg","A helpless or vulnerable person",Idiom
අඳුරේ අත ගාන්න,"To feel around in the dark","To search or act without clear direction or information",Idiom
මාළු මෙලවගෙන ඉන්නවා,"Waiting having salted the fish","Waiting confidently for something already arranged",Idiom
කවුඩාට කිරි උතුරන්නෙ නෑ,"Milk does not boil over for a crow","Something good happens rarely to those undeserving",Proverb
වළේ වැටුනත් වළේ ඉන්නෙ නෑ,"Even if he falls into a pit he does not stay there","A resourceful person always finds a way out",Proverb
ඉස්සරහට තියල පස්සට බලනවා,"Looking back while walking forward","Doing something hesitantly or with regret or doubt",Idiom
කටේ රහම නැති කතාව,"A story with no taste in the mouth","A dull boring or unconvincing statement",Idiom
වේලෙන් වේලට හරි,"Right only for its own time","Something suited only to a specific situation and not universally applicable",Idiom
අත උස්සන එක,"To raise one's hand","To surrender or give up",Idiom
කනට උලක් ගහනවා,"To drive a spike into someone's ear","To say something extremely irritating or unwelcome",Idiom
බඩ පිච්චෙනවා,"One's stomach burns","To feel intense jealousy or envy",Idiom
වළේ වැටෙනවා,"To fall into a pit","To fall into trouble or a difficult situation",Idiom
කුරුමිට්ටෙක්,"A small ant","A person who is insignificant or looked down upon",Idiom
උගුරේ කටුවක් වගේ,"Like a thorn in the throat","Something or someone that constantly bothers or annoys you",Idiom
ඇස් වහගෙන ඉන්නවා,"Sitting with eyes closed","Deliberately ignoring an obvious problem",Idiom
කණට කොක් ගහනවා,"To bang a stick in someone's ear","To keep repeating something to make someone understand",Idiom
වතුර උඩ ඇඳි ඉරි වගේ,"Like lines drawn on water","Something that has no lasting effect or is quickly forgotten",Idiom
හීනෙන් හරි නොදකින දේ,"Something not even seen in a dream","Something completely unexpected or impossible",Idiom
කිරි උතුරනවා,"The milk is boiling over","Prosperity or celebration is happening (traditionally linked to the New Year milk-boiling ritual)",Idiom
ලේ උනුසුම්,"Warm blooded","Someone quick-tempered or easily provoked",Idiom
කටින් කටට,"From mouth to mouth","Spread by word of mouth / gossip",Idiom
අත උඩින් යනවා,"To go over one's hand","To exceed or go beyond one's authority or limits",Idiom
කන්නාඩි දාගෙන බලනවා,"Looking while wearing glasses","Looking at something with a biased or particular viewpoint",Idiom
වේලාවට වේලාව,"Time for time","Tit for tat / retaliation in kind",Idiom
ගෙදර ගිනි තියනවා,"To set fire to one's own house","To cause trouble or ruin for oneself",Idiom
කටින් මී පැණි වගේ ඇතුලෙන් විස වගේ,"Honey from the mouth but poison inside","Someone who speaks sweetly but has harmful or false intentions",Proverb
වතුරේ ගිය ගල වගේ,"Like a stone that went into the water","Something or someone that disappeared completely without a trace",Idiom
අතට අත දීලා,"Giving hand to hand","Working together in cooperation / mutual support",Idiom
කටේ රස බලනවා,"Testing the taste of the mouth","To test someone's reaction or opinion before proceeding",Idiom
කණට වදින විදිහට කියනවා,"Saying it in a way that pierces the ear","Speaking bluntly or harshly to make a point understood",Idiom
ඇඟට කිට්ටු කරගන්නවා,"Bringing close to the body","Taking something personally or to heart",Idiom
තට්ටයක් උඩ තට්ටයක්,"One layer on top of another","Something built up in excess, layer upon layer / redundant repetition",Idiom
කටින් වචනයක් නෑ,"Not a word from the mouth","Remaining completely silent, saying nothing at all",Idiom
වතුරෙන් ගිය මාළුවා වගේ,"Like a fish that went with the water","A person who quietly slipped away or escaped",Idiom
අතේ තියන දේ බිම දානවා,"Dropping what is in one's hand","Abandoning a current task to do something else urgently",Idiom
ඉස්සරහින් යනවා පස්සෙන් එනවා,"Goes in the front, comes from the back","Someone unreliable or inconsistent in behaviour",Idiom
කටේ රත්තරං වගේ,"Like gold in the mouth","Someone who always speaks kindly and pleasantly",Idiom
ගසක් උඩ ගසක්,"A tree on top of a tree","An unnecessarily complicated or over-engineered situation",Idiom
වතුර නැති ළිඳ,"A well without water","Something or someone that no longer has anything useful to offer",Idiom
කන් දෙකෙන් අහගෙන කටින් නෙරපනවා,"Hearing with both ears and letting it out of the mouth","Gossiping or spreading whatever one hears without discretion",Idiom
අතක් උස්සන්න බෑ,"Cannot even raise a hand","Completely powerless or unable to act in a situation",Idiom
කිරි ගෙඩි වගේ,"Like a lump of milk","Someone who is soft-hearted, gentle, and kind natured",Idiom
වහලට ගිය ගින්දර වගේ,"Like a fire that reached the roof","A problem that has become urgent and out of control",Idiom
ඇහැට පේන්නෙ නෑ,"Cannot be seen by the eye","Something extremely rare, small, or hard to notice",Idiom
කටින් කිව්වට ඇතුලෙන් නෑ,"Said with the mouth but not from within","Insincere words that do not reflect true feelings",Idiom
අත උස්සන්නෙ නැතුව වැඩ කරනවා,"Working without raising a hand","Working diligently without complaint",Idiom
වතුරට වැටුන තෙල් වගේ,"Like oil that fell into water","Two things or people that do not mix or get along",Idiom
කටේ රස නැති කෑම වගේ,"Like food with no taste in the mouth","Something dull, unappealing, or lacking interest",Idiom
