price,quantity_sold
93.71,224
145.56,100
125.88,147
113.88,175
74.04,332
74.04,350
65.23,413
137.96,129
114.1,163
123.73,123
61.85,429
147.29,114
134.92,131
79.11,250
76.36,269
76.51,332
87.38,244
107.23,193
98.88,204
86.21,251
115.07,178
72.55,307
86.29,252
92.97,213
101.05,189
130.67,130
77.97,297
106.28,174
113.32,188
64.18,356
114.68,160
75.35,293
65.85,433
145.4,116
146.91,125
132.76,113
87.42,251
68.79,383
121.58,150
99.61,224
70.98,318
104.57,215
63.09,502
141.84,114
83.29,252
119.63,177
88.05,283
106.81,172
109.2,168
76.64,290
147.26,98
129.76,123
144.55,104
140.53,111
113.81,164
142.97,120
67.96,417
77.64,265
64.07,430
89.28,232
94.98,215
84.42,276
134.59,114
92.11,235
85.28,258
108.84,185
72.68,332
132.2,168
66.71,344
148.82,104
129.5,128
77.88,275
60.5,399
133.39,146
123.62,168
125.61,134
129.41,125
66.66,385
92.26,214
70.43,360
137.68,126
116.1,137
89.78,274
65.72,449
87.99,228
89.27,228
125.66,146
117.38,163
139.85,129
102.5,236
70.76,330
124.19,133
128.47,120
110.51,160
129.39,135
104.44,224
107.05,171
98.48,209
62.29,406
69.71,387
62.83,517
117.28,149
88.29,230
105.77,204
141.68,127
82.44,321
96.93,222
128.0,133
80.59,293
66.93,408
86.08,272
74.51,327
143.67,129
132.73,147
117.01,181
138.43,131
132.33,129
76.79,302
140.33,136
108.54,163
132.67,136
140.65,115
88.62,240
69.9,389
80.51,282
98.44,206
133.62,113
137.47,134
60.63,452
105.97,228
97.57,201
79.99,286
70.79,344
90.39,273
144.86,114
89.09,245
106.69,193
123.27,149
92.73,214
147.46,114
146.62,125
82.66,240
104.75,189
87.08,229
85.64,284
63.32,341
114.86,154
105.24,192
64.63,450
85.08,253
141.74,112
81.56,328
73.04,277
104.05,151
148.71,115
81.78,257
120.49,137
128.55,147
81.39,279
125.54,134
93.1,196
116.91,173
117.02,169
108.22,176
68.13,428
135.18,114
88.87,205
76.79,277
63.67,392
113.18,170
120.98,147
61.49,430
106.09,162
80.38,321
118.07,155
75.69,340
122.18,153
94.81,227
144.31,122
72.38,340
90.7,247
70.21,388
143.22,119
138.96,131
83.21,261
119.4,177
133.55,121
109.97,208
107.67,178
81.77,234
68.38,358
140.75,112
141.04,130
116.98,148
90.51,222
91.43,189
125.34,136
140.74,94
139.84,103
130.19,145
117.78,169
67.57,376
74.55,282
140.87,119
114.58,163
60.83,375
69.13,404
119.72,167
60.46,416
74.47,312
109.39,178
122.27,121
118.68,151
80.18,260
124.1,131
81.35,265
89.29,284
127.18,149
118.47,146
136.43,133
119.19,177
111.15,187
68.43,355
93.09,209
83.87,279
81.96,280
147.57,122
95.38,229
140.28,134
116.8,150
131.53,151
105.24,189
111.92,208
104.33,175
77.57,348
125.02,146
85.27,238
62.19,389
118.09,151
75.94,315
144.64,121
145.85,107
142.34,117
93.31,275
61.39,494
143.55,121
98.54,205
147.0,114
146.73,120
136.77,113
86.5,242
94.66,184
136.6,130
88.52,256
75.25,292
110.11,203
144.25,102
122.64,127
111.31,174
68.75,390
115.35,191
149.1,105
72.61,360
106.65,181
138.96,120
126.67,153
122.73,157
123.22,125
92.35,261
86.42,286
132.84,123
132.91,136
138.04,130
142.19,121
106.02,173
105.14,173
131.85,132
118.5,174
123.18,154
131.62,128
140.1,130
90.42,175
93.8,247
68.46,297
112.05,163
63.23,356
101.9,171
108.84,198
85.79,240
113.17,172
62.75,401
63.36,416
134.03,130
92.42,198
71.44,366
107.0,172
129.3,116
79.42,271
116.06,186
67.68,391
64.65,372
107.82,173
108.66,171
117.37,194
125.35,148
147.83,116
106.47,202
89.07,244
131.57,129
84.37,253
99.51,200
67.06,363
62.28,438
146.64,113
135.24,137
122.64,146
96.81,212
75.6,249
74.08,344
82.52,276
109.43,193
124.31,108
119.42,189
85.19,251
145.94,127
126.41,127
109.89,185
115.05,146
97.76,194
82.3,324
92.04,222
128.21,141
61.3,455
70.45,355
64.14,395
63.67,408
136.99,159
123.33,145
102.68,196
68.81,389
104.25,210
102.61,217
75.59,324
99.05,181
95.87,251
115.43,144
117.16,163
64.08,362
93.72,219
116.33,165
105.28,191
137.08,130
119.28,180
74.66,324
66.35,361
117.82,172
62.39,457
112.72,148
144.62,122
111.79,181
94.94,210
117.9,179
101.24,193
109.11,178
144.73,113
94.75,217
146.51,101
141.48,103
77.62,343
66.24,341
69.07,316
61.64,333
68.5,331
121.47,131
66.41,436
88.71,265
136.04,118
62.09,512
133.3,143
85.37,245
70.63,262
122.71,185
116.6,138
138.97,104
126.16,156
132.31,168
85.38,291
75.97,320
127.56,147
132.62,143
149.15,118
97.14,215
93.48,224
129.88,134
90.67,215
143.77,113
137.26,105
98.61,202
127.58,126
127.91,124
69.28,353
141.23,137
105.47,202
134.38,110
88.8,216
140.6,132
95.03,196
60.98,411
141.48,126
68.22,322
88.74,242
145.51,100
145.55,107
111.61,175
116.87,135
100.36,208
86.39,249
89.58,249
120.53,155
127.71,159
131.24,135
131.07,128
68.21,359
104.5,198
65.18,382
109.46,175
99.74,187
139.89,113
91.58,198
70.54,402
72.87,284
128.54,128
115.64,150
69.1,381
67.57,350
123.09,166
66.55,344
133.97,133
123.56,134
67.32,449
67.64,319
148.8,114
93.68,235
93.36,231
133.15,128
145.25,113
148.74,111
127.8,136
93.86,242
67.52,450
129.94,128
110.26,151
98.18,204
141.57,154
70.01,315
104.34,221
61.02,496
102.18,183
65.07,403
70.69,396
70.58,325
118.43,152
127.14,132
112.5,151
146.6,106
93.74,195
85.71,253
138.17,114
80.12,285
146.69,96
61.09,433
147.29,122
63.88,321
140.2,125
107.49,203
149.37,97
66.64,435
109.85,181
147.24,104
107.08,179
116.65,168
122.62,148
100.91,208
116.48,145
112.59,170
141.1,104
64.09,385
85.29,232
145.54,106
140.12,136
101.01,220
115.81,171
84.96,229
76.93,287
101.73,220
91.8,231
112.53,211
67.0,379
147.7,114
148.76,107
122.83,149
108.25,175
87.86,261
133.24,143
121.63,138
74.64,272
141.98,98
134.03,136
145.48,102
125.31,115
115.21,168
97.64,266
143.95,116
137.95,134
64.07,393
62.37,402
93.88,241
132.95,127
148.85,113
73.54,328
113.47,155
94.28,241
147.29,110
135.79,117
135.45,134
102.18,177
97.33,209
84.61,257
65.07,425
137.83,130
133.16,130
149.97,118
149.7,125
109.99,183
129.21,136
145.03,100
136.47,113
82.26,260
100.55,187
71.62,324
145.86,114
114.56,172
80.58,275
120.45,159
115.63,162
92.23,185
70.22,309
120.44,149
106.83,160
129.51,144
106.81,211
136.7,141
109.67,170
110.48,200
138.9,124
96.31,205
72.06,307
62.59,392
127.96,133
115.83,163
123.37,148
79.17,284
72.27,340
61.31,469
91.55,251
113.09,143
95.3,167
99.37,222
141.37,104
91.34,224
106.26,162
130.53,112
95.69,226
115.99,173
137.61,117
145.46,88
73.24,302
143.39,121
104.29,162
83.24,268
101.32,196
148.2,117
104.34,190
89.59,214
117.01,178
81.61,267
66.83,365
71.6,301
71.52,316
73.67,290
72.49,318
117.68,186
76.37,261
91.11,196
140.71,139
102.66,188
120.08,142
75.51,338
77.31,277
63.68,472
75.2,328
85.07,243
75.93,375
67.98,336
70.86,361
101.47,202
78.57,327
92.78,262
105.31,186
122.14,137
63.54,413
131.95,123
116.51,195
67.36,367
138.62,118
142.88,119
65.5,330
84.92,232
132.56,148
127.34,130
76.61,269
78.84,301
93.34,250
103.61,204
115.64,178
93.2,206
101.63,169
127.27,162
63.3,384
82.72,259
124.2,165
140.57,127
106.05,192
107.89,222
69.65,323
100.27,219
107.94,179
81.82,278
84.23,301
93.96,231
61.81,434
88.99,265
79.03,274
89.47,217
70.78,303
140.15,99
113.42,203
121.12,134
131.03,130
104.86,181
67.82,369
108.34,192
112.82,182
127.09,132
98.85,200
71.48,340
85.54,247
92.68,263
118.13,164
111.37,183
92.05,242
148.79,124
114.52,166
81.35,239
69.16,362
73.76,296
82.14,255
74.46,330
76.79,336
85.66,253
75.6,314
140.71,142
67.22,372
107.21,234
96.94,222
148.41,93
70.08,368
95.81,222
147.25,127
137.9,132
133.54,128
83.21,233
75.38,299
120.18,139
143.64,110
110.11,184
111.45,201
85.2,265
129.25,121
76.83,310
89.13,268
98.29,193
105.68,182
81.82,271
70.34,313
114.96,173
85.98,248
112.31,175
73.89,288
103.3,182
107.93,192
64.66,371
90.29,277
72.1,314
65.7,384
149.1,121
89.01,207
132.89,109
82.92,227
121.34,170
128.42,130
113.61,213
102.44,182
97.07,213
91.4,267
143.66,142
134.76,157
146.85,127
71.19,369
125.78,150
144.45,125
76.31,284
65.98,344
126.7,140
111.7,167
135.76,121
72.58,347
131.57,146
78.15,292
74.73,359
74.78,276
133.31,127
119.87,142
107.08,150
92.29,224
138.95,121
95.32,250
133.49,138
99.52,182
93.92,264
101.64,221
87.12,261
127.28,136
